sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
R,16.1237,19.7545,-4.08716,2.54364,15.9316,19.7642,-4.15329,2.46102,0.279783,0.30664,0.483594,0.409604
L,15.9176,19.8789,-4.15602,2.43329,15.7223,19.8843,-4.22022,2.34439,0.279274,0.305551,0.481906,0.408218
R,15.7082,19.9978,-4.22185,2.32141,15.5649,19.9801,-4.23264,2.28077,0.278549,0.304477,0.480207,0.406792
L,15.4956,20.111,-4.28461,2.2081,15.3519,20.0912,-4.29276,2.1655,0.277833,0.303415,0.478525,0.405383
R,15.2799,20.2185,-4.34427,2.09347,15.1178,20.2809,-4.33912,2.11645,0.277196,0.302404,0.476861,0.403977
L,15.0613,20.3203,-4.4008,1.97763,14.8996,20.3839,-4.39337,2.0014,0.276565,0.301406,0.475214,0.402587
R,14.84,20.4162,-4.4542,1.86068,14.6722,20.4446,-4.44765,1.85981,0.275966,0.300381,0.473584,0.401206
L,14.6161,20.5063,-4.50443,1.74272,14.4487,20.5346,-4.49533,1.74138,0.275371,0.299367,0.471971,0.399839
R,14.3897,20.5904,-4.55149,1.62386,14.2028,20.6386,-4.54977,1.62101,0.274869,0.29838,0.470374,0.398486
L,14.1611,20.6686,-4.59537,1.50421,13.9743,20.7166,-4.59117,1.49975,0.274372,0.297403,0.468793,0.397147
R,13.9304,20.7408,-4.63606,1.38386,13.7481,20.7887,-4.63229,1.36892,0.273861,0.296436,0.467228,0.395822
L,13.6977,20.807,-4.67357,1.26294,13.5157,20.8541,-4.66717,1.2448,0.273354,0.295477,0.465679,0.394512
R,13.4632,20.8671,-4.70789,1.14153,13.2995,20.8552,-4.7076,1.03875,0.272777,0.294505,0.464144,0.393301
L,13.2271,20.9211,-4.73904,1.01975,13.0635,20.9039,-4.73454,0.908126,0.272205,0.293545,0.462625,0.392117
R,12.9895,20.969,-4.76702,0.897694,12.8592,20.9686,-4.74956,0.804706,0.271523,0.29259,0.461123,0.390914
L,12.7506,21.0108,-4.79186,0.775469,12.6213,21.0056,-4.76992,0.673532,0.270845,0.291645,0.459636,0.389737
R,12.5106,21.0465,-4.81358,0.653175,12.3348,21.0721,-4.80609,0.541403,0.270342,0.290716,0.458161,0.388589
L,12.2695,21.0761,-4.83219,0.530912,12.0942,21.0958,-4.81919,0.408664,0.269843,0.289793,0.456701,0.387472
R,12.0276,21.0996,-4.84773,0.408778,11.8856,21.1122,-4.82181,0.27387,0.269225,0.288876,0.455258,0.386393
L,11.785,21.117,-4.86022,0.286869,11.6444,21.1225,-4.82755,0.139937,0.268608,0.287966,0.453832,0.385352
R,11.5418,21.1283,-4.86971,0.165281,11.4046,21.0807,-4.82422,-0.0423476,0.267987,0.28709,0.452425,0.384497
L,11.2982,21.1335,-4.87623,0.0441057,11.1635,21.0752,-4.82111,-0.17821,0.267364,0.286234,0.451039,0.383701
R,11.0544,21.1327,-4.87982,-0.076565,10.8935,21.0065,-4.81201,-0.38076,0.266837,0.285521,0.449676,0.383261
L,10.8105,21.1259,-4.88053,-0.196643,10.6533,20.9841,-4.79913,-0.518353,0.266302,0.284861,0.44834,0.382913
R,10.5666,21.1131,-4.8784,-0.31604,10.3504,21.0094,-4.80947,-0.590726,0.266025,0.284106,0.447004,0.382346
L,10.3229,21.0943,-4.87349,-0.434674,10.1105,20.9765,-4.79122,-0.724019,0.265733,0.283392,0.445693,0.381851
R,10.0795,21.0697,-4.86585,-0.552463,9.87971,20.978,-4.77748,-0.809297,0.265385,0.282627,0.444402,0.38122
L,9.83658,21.0391,-4.85554,-0.669327,9.64152,20.9343,-4.75351,-0.939864,0.265019,0.281897,0.443139,0.380653
R,9.59422,21.0028,-4.84262,-0.785189,9.40278,20.9455,-4.74665,-0.956775,0.264642,0.281091,0.441881,0.37975
L,9.35258,20.9607,-4.82714,-0.899977,9.16621,20.8946,-4.71997,-1.08072,0.264247,0.280304,0.440648,0.37888
R,9.11177,20.9128,-4.80919,-1.01362,8.97335,20.8651,-4.68801,-1.15763,0.263683,0.279503,0.439449,0.377925
L,8.87192,20.8594,-4.78881,-1.12605,8.73983,20.8042,-4.65648,-1.27858,0.263104,0.278716,0.438279,0.376999
R,8.63315,20.8003,-4.76608,-1.2372,8.59621,20.6881,-4.58472,-1.40851,0.262354,0.278036,0.437222,0.376128
L,8.39557,20.7358,-4.74108,-1.34701,8.36802,20.6148,-4.54649,-1.52741,0.261603,0.277384,0.436207,0.37529
R,8.1593,20.6657,-4.71387,-1.45542,8.1521,20.5318,-4.50085,-1.64746,0.26085,0.276772,0.435251,0.374494
L,7.92445,20.5903,-4.68453,-1.56237,7.92826,20.4465,-4.45635,-1.7643,0.260104,0.276194,0.434349,0.373734
R,7.69111,20.5096,-4.65313,-1.66781,7.74384,20.3735,-4.40024,-1.87757,0.259395,0.275599,0.433532,0.373006
L,7.45939,20.4237,-4.61975,-1.7717,7.52519,20.2768,-4.34929,-1.99275,0.258708,0.275041,0.432784,0.372322
R,7.22939,20.3326,-4.58448,-1.87399,7.29367,20.1766,-4.30401,-2.09629,0.258025,0.274517,0.432078,0.371648
L,7.00119,20.2364,-4.54738,-1.97462,7.07996,20.0691,-4.24777,-2.20803,0.257371,0.274034,0.431451,0.371019
R,6.7749,20.1352,-4.50854,-2.07357,6.86438,19.9889,-4.21059,-2.27311,0.256742,0.273489,0.430823,0.370286
L,6.55059,20.0292,-4.46805,-2.17079,6.65543,19.8726,-4.15085,-2.38045,0.25615,0.272981,0.430278,0.36959
R,6.32834,19.9183,-4.42598,-2.26625,6.45408,19.8053,-4.11583,-2.42919,0.255615,0.272359,0.42971,0.368771
L,6.10823,19.8027,-4.38241,-2.35993,6.24995,19.6814,-4.05326,-2.53222,0.255131,0.271761,0.429224,0.367983
R,5.89034,19.6824,-4.33744,-2.45178,5.99954,19.5365,-3.98867,-2.67246,0.254564,0.271235,0.428828,0.367342
L,5.67472,19.5577,-4.29114,-2.5418,5.80193,19.4005,-3.91919,-2.77335,0.254048,0.270748,0.428541,0.366743
R,5.46145,19.4284,-4.24359,-2.62995,5.63913,19.2339,-3.82518,-2.88501,0.253699,0.270396,0.428487,0.366234
L,5.25059,19.2948,-4.19488,-2.71622,5.44984,19.0873,-3.74996,-2.98213,0.253438,0.270098,0.428576,0.36577
R,5.04219,19.157,-4.1451,-2.80059,5.28892,18.9995,-3.71751,-2.98512,0.253403,0.269624,0.428571,0.365044
L,4.8363,19.015,-4.09432,-2.88305,5.10501,18.8481,-3.64248,-3.07622,0.253487,0.269184,0.428698,0.364348
R,4.63297,18.8689,-4.04263,-2.96359,4.84113,18.7327,-3.61714,-3.14639,0.253269,0.268656,0.428681,0.36363
L,4.43224,18.7188,-3.99012,-3.0422,4.66231,18.5733,-3.53914,-3.23387,0.253153,0.268159,0.428801,0.362942
R,4.23416,18.5648,-3.93685,-3.11888,4.48811,18.4411,-3.4983,-3.25951,0.253158,0.267609,0.428852,0.362138
L,4.03876,18.4071,-3.88293,-3.19362,4.31524,18.2762,-3.41997,-3.3416,0.253284,0.267081,0.429036,0.361356
R,3.84606,18.2457,-3.82841,-3.26644,4.07897,18.1548,-3.36792,-3.43185,0.253183,0.266471,0.429204,0.360619
L,3.65611,18.0807,-3.77339,-3.33732,3.91275,17.9814,-3.28456,-3.51171,0.253201,0.265882,0.429531,0.35991
R,3.46891,17.9122,-3.71795,-3.40627,3.77803,17.839,-3.23267,-3.52633,0.253518,0.265254,0.429833,0.359093
L,3.28449,17.7402,-3.66215,-3.47331,3.61856,17.661,-3.14954,-3.60078,0.253991,0.264641,0.430294,0.358295
R,3.10287,17.565,-3.60609,-3.53844,3.38123,17.516,-3.11112,-3.66959,0.25412,0.263994,0.430645,0.357511
L,2.92405,17.3866,-3.54982,-3.60167,3.22792,17.3309,-3.02495,-3.74094,0.254394,0.26336,0.43117,0.356748
R,2.74805,17.2051,-3.49344,-3.66302,3.11554,17.1121,-2.87794,-3.85617,0.255085,0.262783,0.432287,0.356117
L,2.57486,17.0205,-3.437,-3.72251,2.97405,16.9178,-2.78478,-3.92398,0.256002,0.262229,0.433657,0.355514
R,2.4045,16.833,-3.38059,-3.78014,2.77795,16.7746,-2.79011,-3.9148,0.256716,0.261611,0.434573,0.35476
L,2.23695,16.6427,-3.32428,-3.83595,2.64078,16.5775,-2.69998,-3.97749,0.257647,0.261006,0.43571,0.354024
R,2.07221,16.4497,-3.26812,-3.88995,2.39476,16.3924,-2.71142,-3.99939,0.258005,0.260396,0.436385,0.353239
L,1.91027,16.254,-3.21219,-3.94216,2.26147,16.1912,-2.62335,-4.0577,0.258541,0.259797,0.437258,0.352468
R,1.75112,16.0557,-3.15656,-3.99261,2.05287,16.0468,-2.64603,-4.04502,0.258768,0.259167,0.437643,0.351631
L,1.59474,15.8549,-3.10129,-4.04132,1.92277,15.8434,-2.56127,-4.09922,0.259147,0.258541,0.438195,0.350803
R,1.44111,15.6517,-3.04644,-4.08832,1.79318,15.6169,-2.44615,-4.18352,0.259674,0.25793,0.439118,0.350021
L,1.29021,15.4463,-2.99207,-4.13364,1.67319,15.4066,-2.35681,-4.23449,0.260403,0.257327,0.440264,0.349253
R,1.14201,15.2386,-2.93825,-4.1773,1.43651,15.2544,-2.39789,-4.22935,0.260575,0.256716,0.440795,0.348439
L,0.996486,15.0288,-2.88503,-4.21933,1.31885,15.042,-2.31171,-4.27707,0.260903,0.256109,0.441517,0.347635
R,0.853604,14.8169,-2.83246,-4.25977,1.13708,14.8923,-2.34205,-4.25078,0.261014,0.255557,0.44176,0.346814
L,0.71333,14.603,-2.78061,-4.29864,1.02211,14.6789,-2.26005,-4.29494,0.261258,0.255009,0.442163,0.345999
R,0.575628,14.3872,-2.72952,-4.33598,0.910357,14.4339,-2.14249,-4.37114,0.26165,0.254433,0.44295,0.345198
