sensor,x_gt,y_gt,vx_gt,vy_gt,p_x,p_y,vx,vy,RMSE_x,RMSE_y,RMSE_vx,RMSE_vy
L,5.67472,19.5577,-4.29114,-2.5418,5.4574,19.5554,-4.73355,-2.29894,0.0991591,0.119412,0.639163,0.659455
R,5.46145,19.4284,-4.24359,-2.62995,5.21617,19.4112,-4.76948,-2.48148,0.100514,0.119098,0.638608,0.65777
L,5.25059,19.2948,-4.19488,-2.71622,5.04527,19.3027,-4.59962,-2.4611,0.101363,0.11878,0.637585,0.656274
R,5.04219,19.157,-4.1451,-2.80059,4.82018,19.195,-4.59322,-2.44224,0.102382,0.118496,0.636727,0.655048
L,4.8363,19.015,-4.09432,-2.88305,4.71554,19.0407,-4.26152,-2.51661,0.102488,0.118197,0.635156,0.653856
R,4.63297,18.8689,-4.04263,-2.96359,4.49985,18.8842,-4.30701,-2.78267,0.102673,0.117891,0.633773,0.652265
L,4.43224,18.7188,-3.99012,-3.0422,4.35356,18.7508,-4.12989,-2.77969,0.102562,0.117605,0.632193,0.650833
R,4.23416,18.5648,-3.93685,-3.11888,4.14698,18.6095,-4.13164,-2.79418,0.102488,0.117342,0.630701,0.649558
L,4.03876,18.4071,-3.88293,-3.19362,4.06931,18.456,-3.7941,-2.83301,0.102246,0.117091,0.629097,0.648393
R,3.84606,18.2457,-3.82841,-3.26644,3.87962,18.2763,-3.8602,-3.28084,0.10201,0.116809,0.627478,0.646721
L,3.65611,18.0807,-3.77339,-3.33732,3.59248,18.132,-4.10924,-3.23495,0.10185,0.116568,0.626329,0.645102
R,3.46891,17.9122,-3.71795,-3.40627,3.38862,17.9873,-4.09654,-3.1323,0.101752,0.116394,0.625314,0.643752
L,3.28449,17.7402,-3.66215,-3.47331,3.16357,17.8195,-4.14666,-3.1513,0.101858,0.116235,0.624679,0.642526
R,3.10287,17.565,-3.60609,-3.53844,2.95863,17.6333,-4.17107,-3.44657,0.102116,0.116042,0.624392,0.640934
L,2.92405,17.3866,-3.54982,-3.60167,2.81576,17.5127,-4.01013,-3.35563,0.102148,0.116095,0.623676,0.63956
R,2.74805,17.2051,-3.49344,-3.66302,2.61579,17.3003,-4.03511,-3.69679,0.102321,0.116,0.623292,0.637963
L,2.57486,17.0205,-3.437,-3.72251,2.47199,17.1058,-3.88169,-3.71665,0.102324,0.115867,0.622531,0.636374
R,2.4045,16.833,-3.38059,-3.78014,2.2772,16.9416,-3.87037,-3.53318,0.102462,0.115832,0.621943,0.635035
